"Оператор (филиал)";"Время начала действия базовой станции";"Время конца действия базовой станции";"Адрес расположения (неструктурированный)";"Идентификаторы сектора";"Параметры антенной системы";"Тип сети";"Координаты - широта";"Координаты - долгота";"Координаты - тип проекции";"Тип местности";"Ид.БС";"Ид.сектора";"LAC";"CELL (сектор)";"Телеф. ид. соты";"Азимут, гр.";"Ширина растра, гр.";"Угол наклона";"Мощность, Вт";"Частота излучения";"Высота подвеса, м";"Коэффициент усиления(Дб)";"Поляризация";"Тип расположения БС";"Ширина диаграммы по вертикали (в градусах)";"Поколение";"Номер контроллера БС";"Код БС (BCC + NCC)";"Тип БС соты";"Класс излучения";"Наименование БС";"Десятичный номер канала";"Нижняя частота";"Верхняя частота";"Уровень боковых лепестков";"CELL (WiFi/WiMax)";"MAC-адреса сектора"
"211";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Красноярский край., Ермаковский р-н., Сибирскоий региональный центр спортивной подготовки и реабилитации спасателей ""Ергаки""";"0";"0";"0";"52.82648";"93.30295";"0";"";"";"";"41147";"61756";"";"230";"65";"0";"41";"900";"30";"17";"";"1";"9";"0";"0";"46";"0";"";"BSC6KRA";"27_FB_8";"";"";"";"";""
"211";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Красноярский край., Ермаковский р-н., Сибирскоий региональный центр спортивной подготовки и реабилитации спасателей ""Ергаки""";"0";"0";"0";"52.82648";"93.30295";"0";"";"";"";"41147";"61757";"";"330";"65";"0";"41";"900";"30";"17";"";"1";"9";"0";"0";"50";"0";"";"BSC6KRA";"30_FB_8";"";"";"";"";""
"211";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Красноярский край., Ермаковский р-н., Сибирскоий региональный центр спортивной подготовки и реабилитации спасателей ""Ергаки""";"0";"0";"0";"52.82648";"93.30295";"0";"";"";"";"41147";"61755";"";"140";"65";"0";"41";"900";"30";"17";"";"1";"9";"0";"0";"77";"0";"";"BSC6KRA";"25_FB_8";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Новосибирская обл., Новосибирск г., Северная ул., д. 11";"0";"0";"0";"55.0705";"82.913";"0";"";"";"";"41130";"8681";"";"-1";"0";"0";"22";"1800";"2";"2";"";"0";"";"0";"0";"62";"0";"";"BSC6NSK";"575_FB_3";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Новосибирская обл., Новосибирск г., Северная ул., д. 11";"0";"0";"0";"55.0705";"82.913";"0";"";"";"";"41130";"8683";"";"-1";"0";"0";"22";"1800";"2";"2";"";"0";"";"0";"0";"47";"0";"";"BSC6NSK";"519_FB_3";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Новосибирская обл., Новосибирск г., Северная ул., д. 11";"0";"0";"0";"55.0705";"82.913";"0";"";"";"";"41130";"8682";"";"-1";"0";"0";"22";"1800";"2";"2";"";"0";"";"0";"0";"72";"0";"";"BSC6NSK";"564_FB_3";"";"";"";"";""
"63";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Москва г., Волоцкой пер., д. 7, корп. 1";"0";"0";"0";"55.83451";"37.35066";"0";"";"";"";"27398";"17493";"";"85";"66";"0";"2";"1800";"27";"18";"";"1";"6";"0";"0";"15";"0";"";"K01701_KB_Impuls";"603_FB_3";"";"";"";"";""
"63";"2020-12-02 02:25:32";"2045-12-31 20:59:59";"Россия, Москва г., Волоцкой пер., д. 7, корп. 1";"0";"0";"0";"55.83451";"37.35066";"0";"";"";"";"27398";"17497";"";"335";"61";"0";"2";"900";"36";"15";"";"1";"12";"0";"0";"3";"0";"";"K01701_KB_Impuls";"25_FB_8";"";"";"";"";""
"221";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Приморский край., Владивосток г., Русский Остров нп., в районе г. Русской (высота 291 м)";"0";"0";"0";"43.03123";"131.83705";"0";"";"";"";"32501";"51991";"";"80";"66";"0";"2";"1800";"20";"18";"";"1";"8";"0";"0";"32";"0";"";"BSC03VLD";"760_FB_3";"";"";"";"";""
"221";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Приморский край., Владивосток г., Русский Остров нп., в районе г. Русской (высота 291 м)";"0";"0";"0";"43.03123";"131.83705";"0";"";"";"";"32501";"51992";"";"240";"66";"0";"2";"1800";"20";"18";"";"1";"8";"0";"0";"30";"0";"";"BSC03VLD";"741_FB_3";"";"";"";"";""
"68";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Псковская обл., Пушкиногорский р-н., Пушкинские Горы пгт., Ленина ул., дом 60,  ";"0";"0";"0";"57.02885";"28.93534";"0";"";"";"";"16007";"39021";"";"50";"43";"1";"2";"1800";"54";"19";"";"1";"8";"0";"0";"2";"0";"";"BSC2PSK";"0";"";"";"";"";""
"21";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Свердловская обл., Екатеринбург г., Репина ул., д. 5";"0";"0";"0";"56.8315";"60.57277";"0";"";"";"";"25256";"65193";"";"0";"85";"0";"41";"1800";"3";"10";"";"1";"85";"0";"0";"50";"0";"";"BSC3SVE";"879_FB_3";"";"";"";"";""
"25";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Татарстан Респ., Казань г., Академика Лаврентьева ул., дом 3,  ";"0";"0";"0";"55.83174";"49.13781";"0";"";"";"";"21616";"43385";"";"0";"65";"0";"2";"900";"3";"16";"";"1";"8";"0";"0";"16";"0";"";"KZB14KZN_NABEREZHNYE_CHELNY";"25_FB_8";"";"";"";"";""
"25";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Татарстан Респ., Казань г., Академика Лаврентьева ул., дом 3,  ";"0";"0";"0";"55.83174";"49.13781";"0";"";"";"";"21616";"43381";"";"0";"68";"2";"2";"1800";"3";"17";"";"1";"7";"0";"0";"17";"0";"";"KZB14KZN_NABEREZHNYE_CHELNY";"527_FB_3";"";"";"";"";""
"38";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Ханты-Мансийский Автономный округ - Югра АО., Сургутский р-н., а/д Сургут-Нижневартовск, ЦДНГ-6, НГДУ Сургутнефть";"0";"0";"0";"61.38175";"73.66997";"0";"";"";"";"20285";"45134";"";"310";"35";"0";"2";"1800";"35";"21";"";"1";"";"0";"0";"3";"0";"";"BSC-Surgut-1";"719_FB_3";"";"";"";"";""
"63";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Москва г., Дмитровское ш., д. 93 , корп. 1";"0";"0";"0";"55.87093";"37.54427";"0";"";"";"";"27664";"35143";"";"175";"66";"0";"2";"1800";"23";"18";"";"1";"6";"0";"0";"73";"0";"";"K00297_KB_Impuls";"530_FB_3";"";"";"";"";""
"63";"2020-11-22 02:28:34";"2045-12-31 20:59:59";"Россия, Москва г., Дмитровское ш., д. 93 , корп. 1";"0";"0";"0";"55.87093";"37.54427";"0";"";"";"";"27664";"35142";"";"70";"66";"0";"2";"1800";"23";"18";"";"1";"6";"0";"0";"67";"0";"";"K00297_KB_Impuls";"532_FB_3";"";"";"";"";""
"44";"2021-02-15 02:21:10";"2045-12-31 20:59:59";"Россия, Ямало-Ненецкий АО., Пуровский р-н., Самбург с., Северо-Самбургское месторождение";"0";"0";"0";"67.00944";"77.56194";"0";"";"";"";"20254";"19077";"";"340";"65";"0";"2";"900";"30";"18";"";"1";"7";"0";"0";"42";"0";"";"BSC-Yanao-1";"113_FB_8";"";"";"";"";""
"36";"2021-05-06 02:23:43";"2045-12-31 20:59:59";"Россия, Самарская обл., Ставропольский р-н., Чайка тер. СНТ, Дачная 1-я ул, в районе уч.№ 48С, Столб ИО";"0";"0";"0";"53.6056";"49.23994";"0";"";"";"";"16350";"5933";"";"170";"66";"0";"2";"1800";"10";"14";"";"1";"20";"0";"0";"34";"0";"";"BSC55409_Tolyatti";"606_FB_3";"";"";"";"";""
"36";"2021-05-06 02:23:43";"2045-12-31 20:59:59";"Россия, Самарская обл., Ставропольский р-н., Чайка тер. СНТ, Дачная 1-я ул, в районе уч.№ 48С, Столб ИО";"0";"0";"0";"53.6056";"49.23994";"0";"";"";"";"16350";"5932";"";"115";"66";"0";"2";"1800";"10";"14";"";"1";"20";"0";"0";"20";"0";"";"BSC55409_Tolyatti";"639_FB_3";"";"";"";"";""
"36";"2021-05-06 02:23:43";"2045-12-31 20:59:59";"Россия, Самарская обл., Ставропольский р-н., Чайка тер. СНТ, Дачная 1-я ул, в районе уч.№ 48С, Столб ИО";"0";"0";"0";"53.6056";"49.23994";"0";"";"";"";"16350";"5931";"";"55";"66";"0";"2";"1800";"10";"14";"";"1";"20";"0";"0";"11";"0";"";"BSC55409_Tolyatti";"603_FB_3";"";"";"";"";""
