"Оператор (филиал)";"Время начала действия базовой станции";"Время конца действия базовой станции";"Адрес расположения (неструктурированный)";"Идентификаторы сектора";"Параметры антенной системы";"Тип сети";"Координаты - широта";"Координаты - долгота";"Координаты - тип проекции";"Тип местности";"Ид.БС";"Ид.сектора";"LAC";"CELL (сектор)";"Телеф. ид. соты";"Азимут, гр.";"Ширина растра, гр.";"Угол наклона";"Мощность, Вт";"Частота излучения";"Высота подвеса, м";"Коэффициент усиления(Дб)";"Поляризация";"Тип расположения БС";"Ширина диаграммы по вертикали (в градусах)";"Поколение";"Номер контроллера БС";"Код БС (BCC + NCC)";"Тип БС соты";"Класс излучения";"Наименование БС";"Десятичный номер канала";"Нижняя частота";"Верхняя частота";"Уровень боковых лепестков";"CELL (WiFi/WiMax)";"MAC-адреса сектора"
"58";"2021-07-08 02:20:36";"2045-12-31 20:59:59";"Россия, Калининградская обл., Гурьевский р-н., Гурьевск г., Лесная ул., д. 3а, столб";"0";"0";"0";"54.77439";"20.603";"0";"";"";"";"13956";"47422";"";"120";"65";"2";"2";"1800";"27";"17";"";"1";"6";"0";"0";"20";"0";"";"BSC04KNG";"685_FB_3";"";"";"";"";""
"58";"2021-07-08 02:20:36";"2045-12-31 20:59:59";"Россия, Калининградская обл., Гурьевский р-н., Гурьевск г., Лесная ул., д. 3а, столб";"0";"0";"0";"54.77439";"20.603";"0";"";"";"";"13956";"47423";"";"230";"65";"2";"2";"1800";"27";"17";"";"1";"6";"0";"0";"71";"0";"";"BSC04KNG";"520_FB_3";"";"";"";"";""
"221";"2021-10-02 02:27:26";"2045-12-31 20:59:59";"Россия, Приморский край., Находка г., Мартовская ул., д. 2, АМС МФ на сопке 1 км от указанного адреса";"0";"0";"0";"42.78483";"132.82319";"0";"";"";"";"32513";"21013";"";"310";"66";"1";"2";"1800";"20";"18";"";"1";"8";"0";"0";"36";"0";"";"BSC06NHD";"737_FB_3";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Сибиряков-Гвардейцев ул., дом 56,  ";"0";"0";"2";"54.9458";"82.8966";"0";"";"";"";"41125";"4599";"";"260";"64";"1";"42";"2100";"22";"17";"";"1";"8";"1";"0";"0";"0";"";"RNC4NSK";"44814";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Краснозерский р-н., Половинное с., Малининская ул., д. 57/1";"0";"0";"2";"53.7293";"79.2179";"0";"";"";"";"41141";"28294";"";"10";"67";"0";"43";"2100";"59";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC6NSK";"46465";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-11-27 02:32:42";"Россия, Новосибирская обл., Ордынский р-н., Красный Яр с., АМС ОАО ""Вымпелком""";"0";"0";"2";"54.4617";"82.1594";"0";"";"";"";"41126";"38414";"";"40";"67";"2";"43";"2100";"72";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC6NSK";"44480";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Немировича-Данченко ул., дом 104,  ";"0";"0";"2";"54.9721";"82.8989";"0";"";"";"";"15401";"5138";"";"190";"63";"0";"43";"2100";"50";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC4NSK";"46427";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирский р-н., Барышево с., МУП ЖКХ Барышевское, Водонапорная башня";"0";"0";"2";"54.9692";"83.2";"0";"";"";"";"41142";"28188";"";"90";"60";"1";"42";"2100";"25";"16";"";"1";"9";"1";"0";"0";"0";"";"RNC4NSK";"45402";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Красный пр-кт., дом 55,  ";"0";"0";"2";"55.0392";"82.9172";"0";"";"";"";"41129";"5428";"";"150";"60";"0";"42";"2100";"30";"17";"";"1";"6";"1";"0";"0";"0";"";"RNC4NSK";"45450";"";"";"";"";""
"211";"2020-11-22 02:28:34";"2021-11-09 02:24:39";"Россия, Красноярский край., Абанский р-н., Залипье с., АМС ОАО ""Вымпелком""";"0";"0";"2";"56.66639";"96.37139";"0";"";"";"";"41136";"49509";"";"270";"64";"0";"43";"2100";"74";"18";"";"1";"6";"1";"44006";"0";"0";"";"RNC5KRA";"43122";"";"";"";"";""
"211";"2021-12-06 02:26:15";"2021-12-08 02:22:53";"Россия, Красноярский край., Абанский р-н., Залипье с., АМС ОАО ""Вымпелком""";"0";"0";"2";"56.66639";"96.37139";"0";"";"";"";"41136";"49509";"";"270";"64";"0";"43";"2100";"74";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC05KY";"43122";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Черепановский р-н., Черепаново г., АМС ФГУП РТРС ф-л ""Сибирский региональный центр""";"0";"0";"2";"54.2309";"83.4058";"0";"";"";"";"41128";"5669";"";"285";"63";"1";"43";"2100";"75";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC6NSK";"44428";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Залесского ул., дом 6, корпус 9";"0";"0";"2";"55.0681";"82.9306";"0";"";"";"";"41130";"4282";"";"120";"65";"0";"43";"2100";"39";"17";"";"1";"7";"1";"0";"0";"0";"";"RNC4NSK";"44437";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., АМС ПБК рядом со зданием по адресу Зорге ул, д. 275/2";"0";"0";"2";"54.93018";"82.92959";"0";"";"";"";"41125";"4898";"";"100";"64";"0";"43";"2100";"38";"17";"";"1";"8";"1";"0";"0";"0";"";"RNC4NSK";"44896";"";"";"";"";""
"202";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Алтайский край., Новоалтайск г., Белякова ул., д. 1А";"0";"0";"2";"53.38764";"83.9584";"0";"";"";"";"42256";"58728";"";"120";"64";"0";"43";"2100";"32";"16";"";"1";"8";"1";"44605";"0";"0";"";"RNC4BAR";"43080";"";"";"";"";""
"202";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Алтайский край., Заринск г., Строителей пр-кт., дом 22,  ";"0";"0";"2";"53.7043";"84.9318";"0";"";"";"";"42001";"7748";"";"180";"66";"2";"43";"2100";"26";"18";"";"1";"6";"1";"622";"0";"0";"";"RNC6BAR";"44692";"";"";"";"";""
"211";"2020-11-22 02:28:34";"2021-11-09 02:24:39";"Россия, Красноярский край., Дзержинский р-н., Дзержинское с., Урочище кошкиной горы. Башня РТПЦ";"0";"0";"2";"56.8534";"95.2389";"0";"";"";"";"41136";"1794";"";"100";"64";"2";"43";"2100";"32";"18";"";"1";"6";"1";"44006";"0";"0";"";"RNC5KRA";"45183";"";"";"";"";""
"211";"2021-12-06 02:26:15";"2021-12-08 02:22:53";"Россия, Красноярский край., Дзержинский р-н., Дзержинское с., Урочище кошкиной горы. Башня РТПЦ";"0";"0";"2";"56.8534";"95.2389";"0";"";"";"";"41136";"1794";"";"100";"64";"0";"43";"2100";"32";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC05KY";"45183";"";"";"";"";""
"202";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Алтайский край., Заринск г., Союза Республик ул., дом 6,  , ПУ-41";"0";"0";"2";"53.699";"84.9228";"0";"";"";"";"42001";"18239";"";"230";"66";"2";"36";"2100";"17";"18";"";"1";"6";"1";"622";"0";"0";"";"RNC6BAR";"43697";"";"";"";"";""
"211";"2020-11-22 02:28:34";"2021-11-09 02:24:39";"Россия, Красноярский край., Красноярск г., Карла Маркса ул., д. 149, Развлекательный кинокомплекс";"0";"0";"2";"56.00916";"92.85583";"0";"";"";"";"44010";"39554";"";"70";"64";"2";"38";"2100";"20";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC4KRA";"45031";"";"";"";"";""
"211";"2021-12-06 02:26:15";"2021-12-08 02:22:53";"Россия, Красноярский край., Красноярск г., Карла Маркса ул., д. 149, Развлекательный кинокомплекс";"0";"0";"2";"56.00916";"92.85583";"0";"";"";"";"44010";"39554";"";"70";"64";"0";"38";"2100";"20";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC04KY";"45031";"";"";"";"";""
"211";"2021-12-08 02:22:54";"2021-12-23 02:24:12";"Россия, Красноярский край., Красноярск г., Карла Маркса ул., д. 149, Развлекательный кинокомплекс";"0";"0";"2";"56.00916";"92.85583";"0";"";"";"";"44010";"39554";"";"70";"64";"2";"38";"2100";"20";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC04KY";"45031";"";"";"";"";""
"202";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Алтайский край., Целинный р-н., Бочкари с., ОАО ""Бочкаревский Пивоваренный Завод""";"0";"0";"2";"52.8802";"85.7601";"0";"";"";"";"46001";"58314";"";"0";"60";"0";"43";"2100";"16";"17";"";"1";"6";"1";"44607";"0";"0";"";"RNC5BAR";"42625";"";"";"";"";""
"202";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Алтайский край., Белокуриха г., Российская ул., д. 2а, АМС Вымпелком";"0";"0";"2";"51.992";"84.9655";"0";"";"";"";"46144";"7278";"";"130";"60";"10";"43";"2100";"71";"17";"";"1";"6";"1";"44607";"0";"0";"";"RNC5BAR";"44632";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, обл. Новосибирская, г. Новосибирск, ул. Выборная, дом 144,  , Торговый Центр ""ТЕТРИС""";"0";"0";"2";"55.0028";"83.0218";"0";"";"";"";"41142";"5504";"";"60";"65";"1";"42";"2100";"20";"17";"";"1";"7";"1";"0";"0";"0";"";"RNC4NSK";"44834";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирский р-н., Раздольное с., АМС ОАО ""Вымпелком""";"0";"0";"2";"55.0539";"83.1158";"0";"";"";"";"41142";"5471";"";"0";"63";"0";"43";"2100";"51";"18";"";"1";"7";"1";"0";"0";"0";"";"RNC4NSK";"44439";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Малыгина ул., дом 13а,  ";"0";"0";"2";"54.9449";"82.8229";"0";"";"";"";"41125";"4939";"";"340";"65";"0";"42";"2100";"30";"17";"";"1";"7";"1";"0";"0";"0";"";"RNC4NSK";"45408";"";"";"";"";""
"202";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Алтайский край., Камень-на-Оби г., 598 км., котельная";"0";"0";"2";"53.7781";"81.2762";"0";"";"";"";"42001";"7759";"";"105";"64";"0";"43";"2100";"43";"18";"";"1";"6";"1";"622";"0";"0";"";"RNC6BAR";"41605";"";"";"";"";""
"210";"2021-08-30 02:31:30";"2022-01-16 02:24:35";"Россия, Кемеровская обл., Прокопьевский р-н., Школьный п., Башня ПАО ""Мегафон""";"0";"0";"2";"54.00657";"86.83452";"0";"";"";"";"45127";"23739";"";"260";"64";"0";"43";"2100";"68";"18";"";"1";"7";"1";"0";"0";"0";"";"RNC53KE";"45508";"";"";"";"";""
"211";"2020-11-22 02:28:34";"2021-11-09 02:24:39";"Россия, Красноярский край., Ачинск г., Давыдова ул., дом 25д,  ";"0";"0";"2";"56.29643";"90.51347";"0";"";"";"";"44153";"11004";"";"40";"64";"2";"43";"2100";"30";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC4KRA";"42113";"";"";"";"";""
"211";"2021-12-06 02:26:15";"2021-12-08 02:22:53";"Россия, Красноярский край., Ачинск г., Давыдова ул., дом 25д,  ";"0";"0";"2";"56.29643";"90.51347";"0";"";"";"";"44153";"11004";"";"40";"64";"0";"43";"2100";"30";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC04KY";"42113";"";"";"";"";""
"211";"2020-11-22 02:28:34";"2021-11-09 02:24:39";"Россия, Красноярский край., Боготол г., Деповская ул., д. 39А";"0";"0";"2";"56.21567";"89.53883";"0";"";"";"";"44153";"39178";"";"180";"64";"0";"43";"2100";"30";"17";"";"1";"9";"1";"0";"0";"0";"";"RNC4KRA";"43161";"";"";"";"";""
"211";"2021-12-06 02:26:15";"2021-12-08 02:22:53";"Россия, Красноярский край., Боготол г., Деповская ул., д. 39А";"0";"0";"2";"56.21567";"89.53883";"0";"";"";"";"44153";"39178";"";"180";"64";"0";"43";"2100";"30";"17";"";"1";"9";"1";"0";"0";"0";"";"RNC04KY";"43161";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Высоцкого ул., д. 1а, АМС ОАО МТС";"0";"0";"2";"55.0287";"83.0109";"0";"";"";"";"41124";"28261";"";"30";"64";"0";"43";"2100";"35";"17";"";"1";"8";"1";"0";"0";"0";"";"RNC4NSK";"46421";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Станционная ул., д. 104";"0";"0";"2";"54.9982";"82.7477";"0";"";"";"";"15401";"38069";"";"-1";"0";"0";"40";"2100";"14";"2";"";"1";"";"1";"0";"0";"0";"";"RNC4NSK";"42718";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Куйбышев г., Володарского ул., дом 11,  ";"0";"0";"2";"55.4438";"78.3199";"0";"";"";"";"15402";"5291";"";"80";"63";"3";"43";"2100";"20";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC6NSK";"44871";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Искитимский р-н., Линево рп., 4-й мкр., Дом Культуры";"0";"0";"2";"54.4544";"83.3798";"0";"";"";"";"41128";"5574";"";"60";"63";"2";"43";"2100";"25";"18";"";"1";"6";"1";"0";"0";"0";"";"RNC6NSK";"46468";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Каменская ул., дом 7";"0";"0";"2";"55.0261";"82.9293";"0";"";"";"";"41129";"4659";"";"245";"64";"0";"43";"2100";"35";"17";"";"1";"8";"1";"0";"0";"0";"";"RNC4NSK";"44830";"";"";"";"";""
"202";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Алтайский край., Новоалтайск г., Промплощадка ул., д. 75, АМС ОАО ""Алтайсвязь""";"0";"0";"2";"53.43314";"83.91015";"0";"";"";"";"42256";"8359";"";"240";"60";"0";"43";"2100";"18";"16";"";"1";"9";"1";"44605";"0";"0";"";"RNC4BAR";"46003";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Бориса Богаткова ул., дом 221,  ";"0";"0";"2";"55.0364";"82.9767";"0";"";"";"";"41124";"4384";"";"0";"64";"0";"43";"2100";"41";"17";"";"1";"8";"1";"0";"0";"0";"";"RNC4NSK";"44466";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Кленовая ул., дом 10/1,  ";"0";"0";"2";"55.0065";"83.0313";"0";"";"";"";"41142";"28749";"";"340";"64";"0";"43";"2100";"36";"17";"";"1";"8";"1";"0";"0";"0";"";"RNC4NSK";"46436";"";"";"";"";""
"216";"2020-11-29 02:21:17";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Бородина ул., дом 2, АМС ФГУП РТРС ф-л ""Сибирский региональный центр""";"0";"0";"2";"54.9281";"82.8639";"0";"";"";"";"41125";"28148";"";"95";"60";"1";"43";"2100";"38";"17";"";"1";"6";"1";"0";"0";"0";"";"RNC4NSK";"44475";"";"";"";"";""
"216";"2020-11-22 02:28:34";"2021-12-05 02:25:30";"Россия, Новосибирская обл., Новосибирск г., Станционная ул., дом 60/1,  ";"0";"0";"2";"54.9975";"82.8223";"0";"";"";"";"15401";"4409";"";"230";"65";"3";"43";"2100";"32";"17";"";"1";"7";"1";"0";"0";"0";"";"RNC4NSK";"44468";"";"";"";"";""
"27";"2021-08-01 02:24:43";"2021-12-17 02:25:39";"Россия, Курганская обл., Курган г., Гоголя ул., дом 54,  ";"0";"0";"0";"55.43921";"65.34118";"0";"";"";"";"25259";"22111";"";"90";"66";"0";"";"1800";"16";"17";"";"1";"7";"0";"0";"34";"0";"";"BSC03KR";"585_FB_3";"";"";"";"";""
"27";"2021-08-01 02:24:43";"2021-12-17 02:25:39";"Россия, Курганская обл., Курган г., Гоголя ул., дом 54,  ";"0";"0";"0";"55.43921";"65.34118";"0";"";"";"";"25259";"22112";"";"190";"66";"0";"";"1800";"16";"17";"";"1";"7";"0";"0";"10";"0";"";"BSC03KR";"580_FB_3";"";"";"";"";""
"27";"2021-08-01 02:24:43";"2021-12-17 02:25:39";"Россия, Курганская обл., Курган г., Свободы ул., д. 2, корп. а";"0";"0";"0";"55.42783";"65.34583";"0";"";"";"";"25259";"52062";"";"140";"67";"0";"";"1800";"10";"18";"";"1";"8";"0";"0";"25";"0";"";"BSC03KR";"581_FB_3";"";"";"";"";""
"27";"2021-08-01 02:24:43";"2021-12-17 02:25:39";"Россия, Курганская обл., Курган г., Коли Мяготина ул., дом 39,  ";"0";"0";"0";"55.4293";"65.28297";"0";"";"";"";"25259";"52091";"";"55";"65";"0";"";"1800";"15";"19";"";"1";"5";"0";"0";"0";"0";"";"BSC03KR";"585_FB_3";"";"";"";"";""
"27";"2021-08-01 02:24:43";"2021-12-17 02:25:39";"Россия, Курганская обл., Шадринск г., Крайняя ул., дом 17,  ";"0";"0";"0";"56.09972";"63.5525";"0";"";"";"";"34501";"32062";"";"180";"67";"0";"";"1800";"20";"17";"";"1";"8";"0";"0";"44";"0";"";"BSC03KR";"512_FB_3";"";"";"";"";""
"27";"2021-08-01 02:24:43";"2021-12-17 02:25:39";"Россия, Курганская обл., Шадринск г., Карла Маркса ул., д. 68";"0";"0";"0";"56.07761";"63.62758";"0";"";"";"";"34501";"32092";"";"105";"68";"0";"";"1800";"31";"17";"";"1";"7";"0";"0";"55";"0";"";"BSC03KR";"580_FB_3";"";"";"";"";""
"27";"2021-08-01 02:24:43";"2021-12-17 02:25:39";"Россия, Курганская обл., Каргапольский р-н., Каргаполье рп., Комсомольская ул., д. 17";"0";"0";"0";"55.95093";"64.43439";"0";"";"";"";"34501";"32221";"";"60";"65";"5";"";"1800";"72";"18";"";"1";"7";"0";"0";"47";"0";"";"BSC03KR";"580_FB_3";"";"";"";"";""
