"Оператор (филиал)";"Время начала действия базовой станции";"Время конца действия базовой станции";"Адрес расположения (неструктурированный)";"Идентификаторы сектора";"Параметры антенной системы";"Тип сети";"Координаты - широта";"Координаты - долгота";"Координаты - тип проекции";"Тип местности";"Ид.БС";"Ид.сектора";"LAC";"CELL (сектор)";"Телеф. ид. соты";"Азимут, гр.";"Ширина растра, гр.";"Угол наклона";"Мощность, Вт";"Частота излучения";"Высота подвеса, м";"Коэффициент усиления(Дб)";"Поляризация";"Тип расположения БС";"Ширина диаграммы по вертикали (в градусах)";"Поколение";"Номер контроллера БС";"Код БС (BCC + NCC)";"Тип БС соты";"Класс излучения";"Наименование БС";"Десятичный номер канала";"Нижняя частота";"Верхняя частота";"Уровень боковых лепестков";"CELL (WiFi/WiMax)";"MAC-адреса сектора"
"39";"2022-05-18 00:00:00";"2044-01-01 00:00:00";"Россия, обл. Ленинградская, р-н Волховский, п Свирица, ул. Новая Свирица,   башня";"0";"0";"0";"60.47322";"32.90946";"0";"";"";"";"17845";"51432706";"";"350";"58";"2";"13";"2600";"68";"17";"45";"1";"5";"2";"";"";"0";"";"BTS_78_0909_GULTN";"";"";"";"";"";""
"39";"2022-05-13 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Коммуны,   0.06 км южнее дома 47 литера А, ОДН";"0";"0";"0";"59.95773";"30.49397";"0";"";"";"";"19335";"56302539";"";"320";"63";"2";"2";"1800";"26";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_03754_LTN";"";"";"";"";"";""
"39";"2022-05-13 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Коммуны,   0.06 км южнее дома 47 литера А, ОДН";"0";"0";"0";"59.95773";"30.49397";"0";"";"";"";"17835";"56302341";"";"320";"63";"2";"25";"1800";"26";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_03754_LTN";"";"";"";"";"";""
"39";"2022-05-07 00:00:00";"2044-01-01 00:00:00";"Россия, обл. Ленинградская, г. Сосновый Бор, ш. Копорское,   0.05 км южнее дома 34, МАО";"0";"0";"0";"59.87328";"29.08788";"0";"";"";"";"17857";"56287768";"";"130";"65";"3";"13";"2100";"30";"17";"45";"1";"7";"2";"";"";"0";"";"BTS_78_03697_GULN";"";"";"";"";"";""
"39";"2022-05-07 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, п Парголово, ул. Михаила Дудина, д. 6/к.1/стр. 1";"0";"0";"0";"60.06665";"30.33752";"0";"";"";"";"221";"44745";"";"0";"0";"0";"20";"1800";"3";"5";"";"0";"55";"0";"BSC_78_50";"66";"1";"";"BTS_78_04474_DLN";"658";"";"";"";"";""
"39";"2022-05-06 00:00:00";"2044-01-01 00:00:00";"Россия, обл. Ленинградская, р-н Киришский, г. Кириши, пр-т Героев, д. 11";"0";"0";"0";"59.44617";"32.02242";"0";"";"";"";"17840";"51692801";"";"240";"58";"3";"";"2600";"19";"17";"45";"1";"5";"2";"";"";"0";"";"BTS_78_1925_GDULTN";"";"";"";"";"";""
"39";"2022-05-05 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ш. Пулковское, д. 52/литера А";"0";"0";"0";"59.80125";"30.33045";"0";"";"";"";"17855";"51286551";"";"0";"0";"0";"4";"2100";"3";"3";"";"0";"55";"2";"";"";"1";"";"BTS_78_0338_UL";"";"";"";"";"";""
"39";"2022-05-05 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, п Парголово, ул. Михаила Дудина, д. 6/к.1/стр. 1";"0";"0";"0";"60.06665";"30.33752";"0";"";"";"";"17865";"56285444";"";"0";"0";"0";"13";"1800";"3";"5";"";"0";"55";"2";"";"";"1";"";"BTS_78_04474_DLN";"";"";"";"";"";""
"39";"2022-04-13 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, тер. Сергиево, ул. Володарского,   0.05 км северо-восточнее дома 28 литера А, столб";"0";"0";"0";"59.83597";"30.10008";"0";"";"";"";"17861";"47514369";"";"100";"58";"3";"13";"2600";"32";"17";"45";"1";"5";"2";"";"";"0";"";"BTS_78_03603_GLTN";"";"";"";"";"";""
"39";"2022-04-13 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, г. Красное Село, ул. Гвардейская,   0.049 км западнее дома 61 литера А, ОДН";"0";"0";"0";"59.73678";"30.07243";"0";"";"";"";"17861";"56295939";"";"0";"63";"3";"25";"1800";"26";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_03989_DLTN";"";"";"";"";"";""
