"Оператор (филиал)";"Время начала действия базовой станции";"Время конца действия базовой станции";"Адрес расположения (неструктурированный)";"Идентификаторы сектора";"Параметры антенной системы";"Тип сети";"Координаты - широта";"Координаты - долгота";"Координаты - тип проекции";"Тип местности";"Ид.БС";"Ид.сектора";"LAC";"CELL (сектор)";"Телеф. ид. соты";"Азимут, гр.";"Ширина растра, гр.";"Угол наклона";"Мощность, Вт";"Частота излучения";"Высота подвеса, м";"Коэффициент усиления(Дб)";"Поляризация";"Тип расположения БС";"Ширина диаграммы по вертикали (в градусах)";"Поколение";"Номер контроллера БС";"Код БС (BCC + NCC)";"Тип БС соты";"Класс излучения";"Наименование БС";"Десятичный номер канала";"Нижняя частота";"Верхняя частота";"Уровень боковых лепестков";"CELL (WiFi/WiMax)";"MAC-адреса сектора"
"61";"2018-02-26 00:00:00";"2049-12-31 23:59:59";"119296, Россия, г Город Москва, пр-кт Университетский, ДОМ 5";"0";"2";"2";"55.69584";"37.55137";"1";"";"";"";"7722";"51755";"";"0";"0";"0";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"1938";"2128";"";"";""
"61";"2018-02-26 00:00:00";"2049-12-31 23:59:59";"125362, Россия, г Город Москва, ул Свободы, ДОМ 20";"0";"2";"2";"55.83309";"37.45421";"1";"";"";"";"7724";"914";"";"0";"0";"0";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"1938";"2128";"";"";""
"61";"2018-02-26 00:00:00";"2049-12-31 23:59:59";"125476, Россия, г Город Москва, проезд Светлогорский, ДОМ 3";"0";"2";"2";"55.84401";"37.40273";"1";"";"";"";"7724";"1859";"";"0";"0";"0";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"1938";"2128";"";"";""
"61";"2018-02-26 00:00:00";"2049-12-31 23:59:59";"127474, Россия, г Город Москва, ул Дубнинская, ДОМ 17 к1";"0";"2";"2";"55.86113";"37.5666";"1";"";"";"";"7722";"51578";"";"0";"0";"0";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"1938";"2128";"";"";""
"61";"2018-02-26 00:00:00";"2049-12-31 23:59:59";"121596, Россия, г Город Москва, ул Толбухина, ДОМ 5 к1";"0";"2";"2";"55.71856";"37.3987";"1";"";"";"";"7724";"389";"";"0";"0";"0";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"1938";"2128";"";"";""
"61";"2018-02-26 00:00:00";"2049-12-31 23:59:59";"125367, Россия, г Город Москва, пр-д Полесский, ДОМ 16";"0";"2";"2";"55.81161";"37.45674";"1";"";"";"";"7724";"794";"";"0";"0";"0";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"1938";"2128";"";"";""
"61";"2018-02-26 00:00:00";"2049-12-31 23:59:59";"119049, Россия, г Город Москва, пер 2-й Спасоналивковский, ДОМ 6";"0";"2";"2";"55.73213";"37.61745";"1";"";"";"";"7724";"1656";"";"0";"0";"0";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"1938";"2128";"";"";""
"61";"2018-02-26 00:00:00";"2049-12-31 23:59:59";"119334, Россия, г Город Москва, пр-кт Ленинский, ДОМ 32А";"0";"2";"2";"55.71064";"37.57737";"1";"";"";"";"7724";"807";"";"0";"0";"0";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"1938";"2128";"";"";""
"61";"2018-02-26 00:00:00";"2049-12-31 23:59:59";"119334, Россия, г Город Москва, пр-кт Ленинский, ДОМ 32А";"0";"2";"2";"55.71064";"37.57737";"1";"";"";"";"7724";"816";"";"0";"0";"0";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"1938";"2128";"";"";""
"61";"2018-02-26 00:00:00";"2049-12-31 23:59:59";"119334, Россия, г Город Москва, пр-кт Ленинский, ДОМ 32А";"0";"2";"2";"55.71064";"37.57737";"1";"";"";"";"7724";"824";"";"0";"0";"0";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"1938";"2128";"";"";""
